title,author,year,day_in_year,pubdate,genre,country,in_links,article_length,page_url
New Adventures of Alice,John Rae,1917,28,1917,Fantasy novel,United States,188,2733,https://en.wikipedia.org/wiki/New_Adventures_of_Alice
A New Alice in the Old Wonderland,Anna M. Richards,1895,301,October 1895,Fantasy novel,United States,188,3165,https://en.wikipedia.org/wiki/A_New_Alice_in_the_Old_Wonderland
The Nursery “Alice”,Lewis Carroll,1890,28,1890,Fantasy novel,United Kingdom,200,3303,https://en.wikipedia.org/wiki/The_Nursery_%22Alice%22
Rollo in Emblemland,John Kendrick Bangs; and Charles Raymond Macauley,1902,28,1902,"Fantasy novel; ,; Parody",United States,186,2707,https://en.wikipedia.org/wiki/Rollo_in_Emblemland
Seeing Redd,Frank Beddor,2007,28,2007,Fantasy novel,United Kingdom,187,4263,https://en.wikipedia.org/wiki/Seeing_Redd
Silverlock,John Myers Myers,1949,28,1949,Fantasy novel,United States,126,2888,https://en.wikipedia.org/wiki/Silverlock
Visitors from Oz,Martin Gardner,1998,28,1998,Children's novel,United States,252,3418,https://en.wikipedia.org/wiki/Visitors_from_Oz
The Westminster Alice,Hector Hugh Munro (Saki),1902,28,1902 (|The Westminster Gazette|),"Fantasy novel; ,; parody",United Kingdom,187,2697,https://en.wikipedia.org/wiki/The_Westminster_Alice
Alice in Murderland (manga),,,1,Kodansha,Gothic fantasy; [1]; [2],,212,5575,https://en.wikipedia.org/wiki/Alice_in_Murderland_(manga)
Alice in Sunderland,Bryan Talbot,2024,96,"5 April 2007|Jonathan Cape| (UK), |Dark Horse| (US)","Graphic novel; , History, Fantasy",UK,37,3250,https://en.wikipedia.org/wiki/Alice_in_Sunderland
Alice & Zoroku,,,1,Tokuma Shoten,"Fantasy; ,; magical girl; [1]",,215,8657,https://en.wikipedia.org/wiki/Alice_%26_Zoroku
Arkham Asylum: A Serious House on Serious Earth,,1989,301,October 1989,,,381,9719,https://en.wikipedia.org/wiki/Arkham_Asylum:_A_Serious_House_on_Serious_Earth
Batwoman: Elegy,,2009,1,August |2009| – February |2010,Superhero,,233,4530,https://en.wikipedia.org/wiki/Batwoman:_Elegy
Cheshire Crossing,,2006,1,June| |2006 – August| |2019,Fantasy,,426,14308,https://en.wikipedia.org/wiki/Cheshire_Crossing
Grimm Fairy Tales (comics),,2024,2,(v1) 2005–2016|(v2) 2017–present,,,43,16378,https://en.wikipedia.org/wiki/Grimm_Fairy_Tales_(comics)
Lost Girls (graphic novel),,1991,1,1991–1992 (partial)|2006,Erotic fantasy,,455,10777,https://en.wikipedia.org/wiki/Lost_Girls_(graphic_novel)
Nightmares on Elm Street,,1991,1,September| |1991 – July| |1992,"Dark fantasy; ,; horror",,58,6630,https://en.wikipedia.org/wiki/Nightmares_on_Elm_Street
Project ARMS,,,1,Shogakukan,Action; [1]; Cyberpunk; [1]; [2],,386,12930,https://en.wikipedia.org/wiki/Project_ARMS
Wonderland (manga),,,1,Shogakukan,Dark fantasy; [1]; Supernatural; [2],,46,2769,https://en.wikipedia.org/wiki/Wonderland_(manga)
Christowell,R. D. Blackmore,1882,28,1882,,United Kingdom,19,1316,https://en.wikipedia.org/wiki/Christowell
Clara Vaughan,R. D. Blackmore,1864,28,1864,Sensation novel,England,20,1128,https://en.wikipedia.org/wiki/Clara_Vaughan
Cradock Nowell,R. D. Blackmore,1866,28,1866,,United Kingdom,16,1812,https://en.wikipedia.org/wiki/Cradock_Nowell
Cripps the Carrier,R. D. Blackmore,1876,28,1876,,United Kingdom,19,1287,https://en.wikipedia.org/wiki/Cripps_the_Carrier
Dariel,R. D. Blackmore,1897,28,1897,,United Kingdom,22,1351,https://en.wikipedia.org/wiki/Dariel
Erema,R. D. Blackmore,1877,28,1877,,United Kingdom,23,1969,https://en.wikipedia.org/wiki/Erema
Kit and Kitty,R. D. Blackmore,1890,28,1890,,United Kingdom,16,1081,https://en.wikipedia.org/wiki/Kit_and_Kitty
Lorna Doone,R. D. Blackmore,1869,28,1869,Fiction,United Kingdom,172,3810,https://en.wikipedia.org/wiki/Lorna_Doone
The Maid of Sker,R. D. Blackmore,1872,28,1872,,United Kingdom,38,1588,https://en.wikipedia.org/wiki/The_Maid_of_Sker
Mary Anerley,R. D. Blackmore,1880,28,1880,,United Kingdom,19,1237,https://en.wikipedia.org/wiki/Mary_Anerley
Perlycross,R. D. Blackmore,1894,28,1894,,United Kingdom,19,1335,https://en.wikipedia.org/wiki/Perlycross
Springhaven,R. D. Blackmore,1887,28,1887,,United Kingdom,15,1342,https://en.wikipedia.org/wiki/Springhaven
Agnes Grey,Anne Brontë,1847,362,December 1847,Romance novel,United Kingdom,197,5302,https://en.wikipedia.org/wiki/Agnes_Grey
"The Professor, A Tale.",Charlotte Brontë; (Currer Bell),1857,28,1857,Romance novel,United Kingdom,88,2836,https://en.wikipedia.org/wiki/The_Professor_(novel)
Shirley,Charlotte Brontë,1849,28,1849,Social novel,United Kingdom,130,3913,https://en.wikipedia.org/wiki/Shirley_(novel)
Villette,Charlotte Brontë,1853,28,January 1853,Romance novel,United Kingdom,134,5765,https://en.wikipedia.org/wiki/Villette_(novel)
The Eyre Affair,Jasper Fforde,2001,200,19 July 2001,"Alternate history; ,; science fiction; ,; mystery",United Kingdom,116,3824,https://en.wikipedia.org/wiki/The_Eyre_Affair
"Reader, I Married Him: Stories inspired by Jane Eyre",,2016,28,2016,Short story collection,,6,910,"https://en.wikipedia.org/wiki/Reader,_I_Married_Him"
Wide Sargasso Sea,Jean Rhys,1966,301,October 1966,Postmodern novel,,147,3652,https://en.wikipedia.org/wiki/Wide_Sargasso_Sea
A True Novel,Minae Mizumura,2002,271,September 2002,,Japan,13,3223,https://en.wikipedia.org/wiki/A_True_Novel
Windward Heights,Maryse Condé,1995,236,24 August 1995,,,5,1804,https://en.wikipedia.org/wiki/Windward_Heights
Armadale,Wilkie Collins,1864,1,November 1864 -- June 1866,"Mystery novel; ,; sensation novel",England,51,2175,https://en.wikipedia.org/wiki/Armadale_(novel)
Basil,Wilkie Collins,1852,28,1852,Fiction,UK,29,1442,https://en.wikipedia.org/wiki/Basil_(novel)
The Black Robe,Wilkie Collins,1881,28,1881,"Epistolary; ,; Mystery Novel; ,; Sensation novel",United Kingdom,39,2018,https://en.wikipedia.org/wiki/The_Black_Robe
The Law and the Lady,Wilkie Collins,1875,28,1875,Mystery,United Kingdom,31,1202,https://en.wikipedia.org/wiki/The_Law_and_the_Lady_(novel)
No Name,Wilkie Collins,1862,28,1862,"Mystery novel; ,; sensation novel",United Kingdom,47,2496,https://en.wikipedia.org/wiki/No_Name_(novel)
Poor Miss Finch,Wilkie Collins,1872,28,1872,sensation novel,United Kingdom,30,1548,https://en.wikipedia.org/wiki/Poor_Miss_Finch
The Battle of Life,Charles Dickens,1846,28,1846,Novel,England,200,6495,https://en.wikipedia.org/wiki/The_Battle_of_Life
Great Expectations,Charles Dickens,1860,1,Serialised 1860–61; book form 1861,"Novel,; Bildungsroman",United Kingdom,1077,28423,https://en.wikipedia.org/wiki/Great_Expectations
The Haunted Man and the Ghost's Bargain,Charles Dickens,1848,354,19 December 1848,Novella,England,203,6958,https://en.wikipedia.org/wiki/The_Haunted_Man_and_the_Ghost%27s_Bargain
Martin Chuzzlewit,Charles Dickens,1843,1,Serialised|: January 1843 – July 1844; as a book 1844,Novel,England,250,7967,https://en.wikipedia.org/wiki/Martin_Chuzzlewit
Nicholas Nickleby,Charles Dickens,1838,1,Serialised March 1838 -October 1839; book format 1839,Novel,England,515,9823,https://en.wikipedia.org/wiki/Nicholas_Nickleby
The Pickwick Papers,"Charles Dickens; (""Boz"")",1836,1,Serialised March 1836 – November 1837; book format 1837,Novel,England,575,6221,https://en.wikipedia.org/wiki/The_Pickwick_Papers
Lost,Gregory Maguire,2001,275,"October 2, 2001",Mystery,United States,117,2613,https://en.wikipedia.org/wiki/Lost_(Maguire_novel)
Marvel Classics Comics,,1976,1,Jan.| |1976 – Dec.| |1978,"science fiction, horror, suspense, adventure",,39,1690,https://en.wikipedia.org/wiki/Marvel_Classics_Comics
Mister Pip,Lloyd Jones,2006,28,2006,Fiction,New Zealand,42,1957,https://en.wikipedia.org/wiki/Mister_Pip
The Last Dickens,Matthew Pearl,2009,28,2009,Mystery novel,United States,28,1250,https://en.wikipedia.org/wiki/The_Last_Dickens
"Felix Holt, the Radical",George Eliot,1866,28,1866,Social novel,United Kingdom,48,4175,"https://en.wikipedia.org/wiki/Felix_Holt,_the_Radical"
Romola,George Eliot; (aka Mary Ann Evans),2063,28,1862–63,Historical novel,United Kingdom,56,3894,https://en.wikipedia.org/wiki/Romola
A Dark Night's Work,Elizabeth Gaskell,1863,1,"1863 (|All the Year Round|) (serial) | 1863 (|Smith, Elder & Co.|) (book)",,,34,1689,https://en.wikipedia.org/wiki/A_Dark_Night%27s_Work
North and South,Elizabeth Gaskell,1855,28,1854–1855,Social novel,United Kingdom,120,11636,https://en.wikipedia.org/wiki/North_and_South_(Gaskell_novel)
Ruth,Elizabeth Gaskell,1853,28,1853,Social novel,United Kingdom,45,2283,https://en.wikipedia.org/wiki/Ruth_(novel)
Sylvia's Lovers,Elizabeth Gaskell,1863,28,1863,Social novel,United Kingdom,36,1566,https://en.wikipedia.org/wiki/Sylvia%27s_Lovers
Wives and Daughters,Elizabeth Gaskell,1864,1,Serialized: August 1864 to January 1866; book 1866,Romance novel,United Kingdom,68,2909,https://en.wikipedia.org/wiki/Wives_and_Daughters
Desperate Remedies,Thomas Hardy,1871,28,1871,Novel,United Kingdom,68,1763,https://en.wikipedia.org/wiki/Desperate_Remedies
The Mayor of Casterbridge,Thomas Hardy,2024,1,London|[1],Novel,United Kingdom,206,3916,https://en.wikipedia.org/wiki/The_Mayor_of_Casterbridge
A Pair of Blue Eyes,Thomas Hardy,1873,28,1873,Novel,United Kingdom,77,2279,https://en.wikipedia.org/wiki/A_Pair_of_Blue_Eyes
Two on a Tower,Thomas Hardy,1882,28,1882,Novel,United Kingdom,62,1917,https://en.wikipedia.org/wiki/Two_on_a_Tower
With Kitchener in the Soudan,G. A. Henty,1902,28,1902,Adventure novel,United Kingdom,8,1472,https://en.wikipedia.org/wiki/With_Kitchener_in_the_Soudan
All Roads Lead to Calvary,Jerome K. Jerome,1919,28,1919,Drama,United Kingdom,22,1041,https://en.wikipedia.org/wiki/All_Roads_Lead_to_Calvary_(novel)
Three Men on the Bummel,Jerome K. Jerome,1900,28,1900,Comedy novel,United Kingdom,53,2797,https://en.wikipedia.org/wiki/Three_Men_on_the_Bummel
At the Back of the North Wind,George MacDonald,1871,28,1871,Children's novels,United Kingdom,55,1400,https://en.wikipedia.org/wiki/At_the_Back_of_the_North_Wind
David Elginbrod,George MacDonald,1863,28,1863,,United Kingdom,26,1010,https://en.wikipedia.org/wiki/David_Elginbrod
Lilith: A Romance,George MacDonald,1895,28,1895,Fantasy,United Kingdom,52,2176,https://en.wikipedia.org/wiki/Lilith_(novel)
The Lost Princess,George MacDonald,1875,28,1875,Children's; Fantasy novel,United Kingdom,27,1656,https://en.wikipedia.org/wiki/The_Lost_Princess
A Daughter's Devotion,George MacDonald,1881,28,1881,,United Kingdom,27,1355,https://en.wikipedia.org/wiki/Mary_Marston
Phantastes,George MacDonald,1858,28,1858,Fantasy,United Kingdom,64,2335,https://en.wikipedia.org/wiki/Phantastes
Ranald Bannerman's Boyhood,George MacDonald,1871,28,1871,,United Kingdom,22,1191,https://en.wikipedia.org/wiki/Ranald_Bannerman%27s_Boyhood
The Children of the New Forest,Frederick Marryat,1847,28,1847,,United Kingdom,77,2657,https://en.wikipedia.org/wiki/The_Children_of_the_New_Forest
"Masterman Ready, or the Wreck of the Pacific",Frederick Marryat,1841,28,1841,,United Kingdom,19,1408,"https://en.wikipedia.org/wiki/Masterman_Ready,_or_the_Wreck_of_the_Pacific"
Newton Forster,Frederick Marryat,1832,28,1832,Adventure,United Kingdom,18,823,https://en.wikipedia.org/wiki/Newton_Forster
Percival Keene,Frederick Marryat,1842,28,1842,,United Kingdom,18,3636,https://en.wikipedia.org/wiki/Percival_Keene
The Phantom Ship,Frederick Marryat,1839,148,May 1839,Gothic novel,,46,1922,https://en.wikipedia.org/wiki/The_Phantom_Ship
The Settlers in Canada,Frederick Marryat,1844,28,1844,,United Kingdom,20,1568,https://en.wikipedia.org/wiki/The_Settlers_in_Canada
The Firm of Girdlestone,Arthur Conan Doyle,1890,28,1890,novel,United Kingdom,67,1855,https://en.wikipedia.org/wiki/The_Firm_of_Girdlestone
The Maracot Deep,Arthur Conan Doyle,1929,28,1929,Fantasy; -; science fiction; novel,United Kingdom,71,2164,https://en.wikipedia.org/wiki/The_Maracot_Deep
Micah Clarke,Arthur Conan Doyle,1889,28,1889,Historical novel,United Kingdom,80,2689,https://en.wikipedia.org/wiki/Micah_Clarke
The Narrative Of John Smith,Arthur Conan Doyle,2011,28,2011 |The British Library,Narrative; fiction; novel,,68,4884,https://en.wikipedia.org/wiki/The_Narrative_of_John_Smith
The RefugeesA Tale of Two Continents,Arthur Conan Doyle,1893,28,1893,Historical novel,United Kingdom,66,1430,https://en.wikipedia.org/wiki/The_Refugees_(novel)
Sir Nigel,Arthur Conan Doyle,1905,1,1905–1906 (in serial) & January 1906 (book form),Historical novel,United Kingdom,88,3195,https://en.wikipedia.org/wiki/Sir_Nigel
The Stark Munro Letters,Arthur Conan Doyle,1895,28,1895,,United Kingdom,65,1805,https://en.wikipedia.org/wiki/The_Stark_Munro_Letters
The White Company,Arthur Conan Doyle,1891,28,1891,Historical fiction,United Kingdom,109,3426,https://en.wikipedia.org/wiki/The_White_Company
The Land of Mist,Arthur Conan Doyle,1926,28,1926,Science fiction,United Kingdom,86,1635,https://en.wikipedia.org/wiki/The_Land_of_Mist
The Lost World,Sir Arthur Conan Doyle,1912,28,1912,"Science fiction; ,; Lost world",United Kingdom,308,4495,https://en.wikipedia.org/wiki/The_Lost_World_(Doyle_novel)
The Poison Belt,Arthur Conan Doyle,1913,28,1913,Science fiction,United Kingdom,90,1985,https://en.wikipedia.org/wiki/The_Poison_Belt
Sherlock Holmes's War of the Worlds,Manly Wade Wellman; Wade Wellman,1975,28,1975,"Mystery; ,; Science fiction",United Kingdom,72,2512,https://en.wikipedia.org/wiki/Sherlock_Holmes%27s_War_of_the_Worlds
The Hound of the Baskervilles,Arthur Conan Doyle,2002,84,25 March 1902|[2],"Detective fiction; ,; Gothic fiction; [1]",United Kingdom,652,10084,https://en.wikipedia.org/wiki/The_Hound_of_the_Baskervilles
The Valley of Fear,Arthur Conan Doyle,1915,28,1915,Detective,United Kingdom,278,4445,https://en.wikipedia.org/wiki/The_Valley_of_Fear
Marvel Preview,,1975,1,1975–Winter 1980 (as |Marvel Preview|)|March 1981–February 1983 (as |Bizarre Adventures|),Adventure; Science fiction; Sword and sorcery; Superhero,,147,3333,https://en.wikipedia.org/wiki/Marvel_Preview
The Moor,Laurie R. King,1998,28,January 1998,Detective fiction,United States,132,3357,https://en.wikipedia.org/wiki/The_Moor_(novel)
The Sittaford Mystery,Agatha Christie,1931,28,1931,Crime novel,United States,205,6001,https://en.wikipedia.org/wiki/The_Sittaford_Mystery
The Caxtons: A Family Picture,,1849,28,1849,,,38,1818,https://en.wikipedia.org/wiki/The_Caxtons
Devereux,Edward Bulwer-Lytton,1829,28,1829,Historical drama,United Kingdom,33,1081,https://en.wikipedia.org/wiki/Devereux_(novel)
The Disowned,Edward Bulwer-Lytton,1829,28,1828–1829,Silver Fork,United Kingdom,35,1175,https://en.wikipedia.org/wiki/The_Disowned
Ernest Maltravers,Edward Bulwer-Lytton,1837,28,1837,Gothic,United Kingdom,37,1162,https://en.wikipedia.org/wiki/Ernest_Maltravers_(novel)
Falkland,Edward Bulwer-Lytton,1827,28,1827,Gothic; romance,United Kingdom,34,1137,https://en.wikipedia.org/wiki/Falkland_(novel)
Godolphin (novel),Edward Bulwer-Lytton,1833,28,1833,"Romance, Satire",England,38,3891,https://en.wikipedia.org/wiki/Godolphin_(novel)
The Last Days of Pompeii,Edward Bulwer-Lytton,1834,28,1834,,United Kingdom,135,3295,https://en.wikipedia.org/wiki/The_Last_Days_of_Pompeii
Paul Clifford,Edward Bulwer-Lytton,1830,28,1830,novel,United Kingdom,54,1691,https://en.wikipedia.org/wiki/Paul_Clifford
Pelham,Edward Bulwer-Lytton,1828,28,1828,Silver Fork,United Kingdom,39,1347,https://en.wikipedia.org/wiki/Pelham_(novel)
The Coming Race,Edward Bulwer-Lytton,2024,123,May 1871|[2],Science fiction; novel,United Kingdom,202,6159,https://en.wikipedia.org/wiki/Vril
Zanoni,Edward Bulwer-Lytton,1842,28,1842,Fiction novel,England,67,2911,https://en.wikipedia.org/wiki/Zanoni
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1824,28,1824,"Psychological mystery; ,; philosophical novel; , satire",Scotland,169,4775,https://en.wikipedia.org/wiki/The_Private_Memoirs_and_Confessions_of_a_Justified_Sinner
The Adventures of Philip,William Makepeace Thackeray,1861,1,1861-62,Novel,United Kingdom,32,1606,https://en.wikipedia.org/wiki/The_Adventures_of_Philip
Catherine: A Story,William Makepeace Thackeray,1840,28,1839–1840,Picaresque novel,United Kingdom,27,1629,https://en.wikipedia.org/wiki/Catherine_(Thackeray_novel)
The History of Henry Esmond,William Makepeace Thackeray,1852,28,1852,Historical fiction,England,66,2946,https://en.wikipedia.org/wiki/The_History_of_Henry_Esmond
The Luck of Barry Lyndon,William Makepeace Thackeray,1844,28,1844,Picaresque novel,United Kingdom,82,6418,https://en.wikipedia.org/wiki/The_Luck_of_Barry_Lyndon
The Virginians,William Makepeace Thackeray,2059,28,1857–59,Historical novel,United Kingdom,59,1772,https://en.wikipedia.org/wiki/The_Virginians
Chronicles of Barsetshire,Anthony Trollope,1855,1,1 January 1855 – 6 July 1867 (initial publication),"Victorian; , Literary fiction","England, United Kingdom",88,7134,https://en.wikipedia.org/wiki/Chronicles_of_Barsetshire
Palliser novels,Anthony Trollope,1879,28,1864–1879,Family saga; Bildungsroman; Picaresque,United Kingdom,101,4814,https://en.wikipedia.org/wiki/Palliser_novels
The American Senator,Anthony Trollope,1876,1,"May 1876 to July 1877; 3 volumes, 1877",Satirical,United Kingdom,58,4991,https://en.wikipedia.org/wiki/The_American_Senator
Ayala's Angel,Anthony Trollope,1881,28,1881,Fiction,,44,1557,https://en.wikipedia.org/wiki/Ayala%27s_Angel
The Belton Estate,Anthony Trollope,1865,1,"15 May 1865 – 1 January 1866 (serial); December 1865 (book) (published in 3 vols with ""1866"" on the title page)",,England,46,2949,https://en.wikipedia.org/wiki/The_Belton_Estate
Castle Richmond,Anthony Trollope,1860,131,10 May 1860,,England,47,1556,https://en.wikipedia.org/wiki/Castle_Richmond
The Claverings,Anthony Trollope,1866,1,February 1866 – May 1867 (serial); April 1867 (book),Novel,England,50,3594,https://en.wikipedia.org/wiki/The_Claverings
Cousin Henry,Anthony Trollope,1879,301,October 1879,,United Kingdom,48,1673,https://en.wikipedia.org/wiki/Cousin_Henry
The Fixed Period,Anthony Trollope,1881,301,"October, 1881",Science fiction,United Kingdom,56,3415,https://en.wikipedia.org/wiki/The_Fixed_Period
He Knew He Was Right,Anthony Trollope,1869,148,May 1869,,United Kingdom,59,2680,https://en.wikipedia.org/wiki/He_Knew_He_Was_Right
The Kellys and the O'Kellys,Anthony Trollope,1848,28,1848,,United Kingdom,49,1469,https://en.wikipedia.org/wiki/The_Kellys_and_the_O%27Kellys
Lady Anna,Anthony Trollope,1873,1,"April 1873 to April 1874; 2 volumes, 1874",,United Kingdom,58,2364,https://en.wikipedia.org/wiki/Lady_Anna_(novel)
The Macdermots of Ballycloran,Anthony Trollope,1847,28,1847,Novel,United Kingdom,50,1806,https://en.wikipedia.org/wiki/The_Macdermots_of_Ballycloran
Miss Mackenzie,Anthony Trollope,1865,59,February 1865,,United Kingdom,50,1955,https://en.wikipedia.org/wiki/Miss_Mackenzie
Orley Farm,Anthony Trollope,1861,1,1861-1862,Literary realism,United Kingdom,63,2636,https://en.wikipedia.org/wiki/Orley_Farm_(novel)
Rachel Ray,Anthony Trollope,1863,28,1863,,England,57,3971,https://en.wikipedia.org/wiki/Rachel_Ray_(novel)
Ralph the Heir,Anthony Trollope,1870,1,"January 1870 to July 1871; 3 volumes, 1871",,United Kingdom,61,2794,https://en.wikipedia.org/wiki/Ralph_the_Heir
